Subject,Trial,Angle,Matching,Response,Time,Correct,Age,Sex
32,33,50,1,b,1622,1,24,F
32,34,100,1,b,1951,1,24,F
32,35,150,1,b,3053,1,24,F
32,36,0,0,n,2423,1,24,F
32,37,100,1,b,3256,1,24,F
32,38,150,0,n,2985,1,24,F
32,39,0,1,b,1285,1,24,F
32,40,50,0,b,2589,0,24,F
32,41,150,1,n,3976,0,24,F
32,42,0,0,n,2180,1,24,F
32,43,100,1,b,2368,1,24,F
32,44,150,0,n,3292,1,24,F
32,45,50,0,n,3158,1,24,F
32,46,100,0,n,3417,1,24,F
32,47,0,1,b,1132,1,24,F
32,48,50,1,b,1289,1,24,F
32,49,100,0,n,4102,1,24,F
32,50,150,0,n,2171,1,24,F
32,51,0,1,b,1150,1,24,F
32,52,0,0,n,2124,1,24,F
32,53,100,1,b,3386,1,24,F
32,54,50,0,n,1451,1,24,F
32,55,150,1,b,2214,1,24,F
32,56,50,1,b,1255,1,24,F
32,57,150,0,n,1336,1,24,F
32,58,100,0,n,2982,1,24,F
32,59,150,1,b,2122,1,24,F
32,60,100,1,b,2192,1,24,F
32,61,0,1,b,946,1,24,F
32,62,0,0,n,2160,1,24,F
32,63,50,0,n,2250,1,24,F
32,64,50,1,b,1644,1,24,F
32,65,150,0,n,3303,1,24,F
32,66,0,1,b,1636,1,24,F
32,67,150,1,b,2631,1,24,F
32,68,0,0,n,4490,1,24,F
32,69,50,0,n,3394,1,24,F
32,70,50,1,b,1250,1,24,F
32,71,100,1,b,2107,1,24,F
32,72,100,0,n,4020,1,24,F
32,73,100,1,b,2055,1,24,F
32,74,100,0,n,3038,1,24,F
32,75,150,1,b,3376,1,24,F
32,76,0,0,n,6773,1,24,F
32,77,0,1,b,1113,1,24,F
32,78,50,1,b,1673,1,24,F
32,79,50,0,n,3582,1,24,F
32,80,150,0,b,3363,0,24,F
32,81,50,0,n,2400,1,24,F
32,82,0,1,b,899,1,24,F
32,83,150,0,n,2050,1,24,F
32,84,50,1,n,3074,0,24,F
32,85,100,1,b,1762,1,24,F
32,86,0,0,n,2014,1,24,F
32,87,150,1,b,2498,1,24,F
32,88,100,0,n,1880,1,24,F
32,89,100,0,n,3001,1,24,F
32,90,50,1,b,1612,1,24,F
32,91,0,1,b,947,1,24,F
32,92,150,1,b,2162,1,24,F
32,93,150,0,n,2853,1,24,F
32,94,50,0,n,2398,1,24,F
32,95,100,1,b,2268,1,24,F
32,96,0,0,n,2283,1,24,F
15,1,0,0,n,1764,1,21,M
15,2,150,0,n,1998,1,21,M
15,3,150,1,b,2377,1,21,M
15,4,100,1,b,4865,1,21,M
15,5,50,1,b,3612,1,21,M
15,6,50,0,n,1884,1,21,M
15,7,100,0,b,2830,0,21,M
15,8,0,1,b,1526,1,21,M
15,9,150,0,n,2940,1,21,M
15,10,150,1,b,3888,1,21,M
15,12,0,0,n,2554,1,21,M
15,13,0,1,b,1524,1,21,M
15,14,100,0,n,3677,1,21,M
15,15,100,1,b,1771,1,21,M
15,16,50,1,b,2375,1,21,M
15,17,100,0,n,2115,1,21,M
15,18,150,1,b,2472,1,21,M
15,19,50,0,n,2234,1,21,M
15,20,50,1,b,1884,1,21,M
15,21,100,0,n,2323,1,21,M
15,22,0,0,n,3417,1,21,M
15,23,0,1,b,1440,1,21,M
15,24,150,0,n,3749,1,21,M
15,25,150,0,n,2527,1,21,M
15,26,50,0,n,2445,1,21,M
15,27,50,1,b,1971,1,21,M
15,28,100,1,b,3757,1,21,M
15,29,0,1,b,1498,1,21,M
15,30,0,0,n,1735,1,21,M
15,31,150,1,b,4407,1,21,M
15,32,100,0,n,1651,1,21,M
15,33,50,1,b,1858,1,21,M
15,34,100,1,b,2339,1,21,M
15,35,150,1,b,3370,1,21,M
15,36,0,0,n,1431,1,21,M
15,37,100,1,b,2127,1,21,M
15,38,150,0,n,2539,1,21,M
15,39,0,1,b,1408,1,21,M
15,40,50,0,n,1956,1,21,M
15,41,150,1,b,2280,1,21,M
15,42,0,0,n,3423,1,21,M
15,43,100,1,b,3050,1,21,M
15,44,150,0,b,1517,0,21,M
15,45,50,0,n,1595,1,21,M
15,46,100,0,n,4173,1,21,M
15,47,0,1,b,1040,1,21,M
15,48,50,1,b,1802,1,21,M
15,49,100,0,n,1716,1,21,M
15,50,150,0,n,3007,1,21,M
15,51,0,1,b,1263,1,21,M
15,52,0,0,n,1160,1,21,M
15,53,100,1,n,1680,0,21,M
15,54,50,0,n,1339,1,21,M
15,55,150,1,b,4146,1,21,M
15,56,50,1,b,1070,1,21,M
15,57,150,0,n,2062,1,21,M
15,58,100,0,n,2919,1,21,M
15,59,150,1,b,1477,1,21,M
15,60,100,1,b,3437,1,21,M
15,61,0,1,b,1037,1,21,M
15,62,0,0,n,2047,1,21,M
15,63,50,0,n,1791,1,21,M
15,64,50,1,b,1363,1,21,M
15,65,150,0,n,2064,1,21,M
15,66,0,1,b,1200,1,21,M
15,67,150,1,b,2026,1,21,M
15,68,0,0,n,1667,1,21,M
15,69,50,0,n,1446,1,21,M
15,70,50,1,b,901,1,21,M
15,71,100,1,b,1460,1,21,M
15,72,100,0,n,4853,1,21,M
15,73,100,1,b,1752,1,21,M
15,74,100,0,n,1561,1,21,M
15,75,150,1,b,2841,1,21,M
15,76,0,0,n,3062,1,21,M
15,77,0,1,b,1577,1,21,M
15,78,50,1,b,5429,1,21,M
15,79,50,0,n,1493,1,21,M
15,80,150,0,b,2324,0,21,M
15,81,50,0,b,2370,0,21,M
15,82,0,1,b,1727,1,21,M
15,83,150,0,n,2525,1,21,M
15,84,50,1,b,1305,1,21,M
15,85,100,1,b,1767,1,21,M
15,86,0,0,n,4213,1,21,M
15,87,150,1,b,3191,1,21,M
15,88,100,0,n,3115,1,21,M
15,89,100,0,n,3291,1,21,M
15,90,50,1,b,1296,1,21,M
15,91,0,1,b,839,1,21,M
15,92,150,1,n,3512,0,21,M
15,93,150,0,n,4780,1,21,M
15,94,50,0,n,1233,1,21,M
15,95,100,1,b,1318,1,21,M
15,96,0,0,n,3019,1,21,M
23,1,0,0,n,1683,1,18,M
23,2,150,0,n,1719,1,18,M
23,3,150,1,b,2020,1,18,M
23,4,100,1,b,1888,1,18,M
23,5,50,1,b,1518,1,18,M
23,6,50,0,n,1723,1,18,M
23,7,100,0,n,2488,1,18,M
23,8,0,1,b,1245,1,18,M
23,9,150,0,n,1895,1,18,M
23,10,150,1,n,2022,0,18,M
23,11,50,0,n,3031,1,18,M
23,12,0,0,n,1675,1,18,M
23,13,0,1,b,1024,1,18,M
23,14,100,0,n,3068,1,18,M
23,15,100,1,b,1827,1,18,M
23,16,50,1,b,1468,1,18,M
23,17,100,0,n,1918,1,18,M
23,18,150,1,b,3701,1,18,M
